ID,Date,Nº_beers,Nº_glasses_wine,Nº_drinks,Nº_shots,BAC_percentage
39,2018-05-26 02:11:12,-1,-1,-1,-1,0.0839999988675118
40,2018-05-29 18:16:47,1,0,0,0,-1.0
41,2018-05-30 19:18:02,0,0,1,0,-1.0
42,2018-05-30 19:18:34,0,0,1,0,-1.0
43,2018-05-30 19:18:35,0,0,1,0,-1.0
44,2018-05-30 19:18:36,0,0,1,0,-1.0
45,2018-05-30 20:21:21,0,0,1,0,-1.0
46,2018-05-30 20:21:25,0,0,1,0,-1.0
47,2018-05-30 20:21:26,0,0,1,0,-1.0
48,2018-05-30 20:46:29,-1,-1,-1,-1,0.125
49,2018-05-30 20:46:31,-1,-1,-1,-1,0.125
50,2018-05-30 22:39:52,0,0,1,0,-1.0
51,2018-05-30 22:39:59,0,0,1,0,-1.0
52,2018-05-31 23:19:58,0,1,0,0,-1.0
53,2018-05-31 23:20:02,0,1,0,0,-1.0
54,2018-05-31 23:20:03,0,1,0,0,-1.0
55,2018-05-31 23:20:05,0,1,0,0,-1.0
56,2018-05-31 23:20:06,0,1,0,0,-1.0
57,2018-05-31 23:20:35,0,1,0,0,-1.0
58,2018-05-31 23:20:36,0,1,0,0,-1.0
59,2018-05-31 23:20:37,0,1,0,0,-1.0
60,2018-06-01 00:37:23,1,0,0,0,-1.0
61,2018-06-01 00:37:28,1,0,0,0,-1.0
62,2018-06-01 01:38:43,-1,-1,-1,-1,0.122000001370907
63,2018-06-01 01:38:44,-1,-1,-1,-1,0.122000001370907
64,2018-06-02 22:47:16,1,0,0,0,-1.0
